region;peat_type;tree_type;year;basal_area
south;4;deciduous;2002;3.49508581356206
south;6;pine;2002;10.0816340325468
south;6;spruce;2002;0.13732970707515
south;6;deciduous;2002;0.852722473894438
south;7;pine;2002;4.63993202201689
south;7;spruce;2002;0
south;7;deciduous;2002;0.173922721734182
north;1;pine;2002;1.79693922191264
north;1;spruce;2002;3.59579695820771
north;1;deciduous;2002;10.172924255772
north;2;pine;2002;5.63540276774005
north;2;spruce;2002;4.1615635114851
north;2;deciduous;2002;6.632882972988
north;4;pine;2002;8.50720628853514
north;4;spruce;2002;0.956889822675823
north;4;deciduous;2002;2.53984644463465
north;6;pine;2002;6.50906996227553
north;6;spruce;2002;0.117411187330405
north;6;deciduous;2002;0.761047000763581
north;7;pine;2002;2.64117963362929
north;7;spruce;2002;0
north;7;deciduous;2002;0
south;1;pine;2003;2.6152445675386
south;1;spruce;2003;7.79924046438839
south;1;deciduous;2003;8.62064763421581
south;2;pine;2003;6.42216980942939
south;2;spruce;2003;7.33682384107993
south;2;deciduous;2003;6.08692072231972
south;4;pine;2003;11.6186437579247
south;4;spruce;2003;1.41050847436891
south;4;deciduous;2003;3.47852527003242
south;6;pine;2003;10.2813194044448
south;6;spruce;2003;0.147580811707181
south;6;deciduous;2003;0.868913893188827
south;7;pine;2003;4.71166511606759
south;7;spruce;2003;0
south;7;deciduous;2003;0.206623351695873
north;1;pine;2003;2.0246761812884
north;1;spruce;2003;3.66980746104856
north;1;deciduous;2003;9.99957338637675
north;2;pine;2003;5.67035795725725
north;2;spruce;2003;4.26149377160879
north;2;deciduous;2003;6.60682194629598
north;4;pine;2003;8.68134717856388
north;4;spruce;2003;0.996118713320727
north;4;deciduous;2003;2.54534059998876
north;6;pine;2003;6.79491207965999
north;6;spruce;2003;0.144432208168
north;6;deciduous;2003;0.788433797054347
north;7;pine;2003;2.92059029437261
north;7;spruce;2003;0.0182536327284001
north;7;deciduous;2003;0.101850286023539
south;1;pine;2004;2.7033798058367
south;1;spruce;2004;7.70227459982527
south;1;deciduous;2004;8.70568288476774
south;2;pine;2004;6.5177412677175
south;2;spruce;2004;7.35582348269033
south;2;deciduous;2004;6.07445049383737
south;4;pine;2004;11.7889314217819
south;4;spruce;2004;1.40198195631494
south;4;deciduous;2004;3.46196472650278
south;6;pine;2004;10.4810047763429
south;6;spruce;2004;0.157831916339212
south;6;deciduous;2004;0.885105312483217
south;7;pine;2004;4.78339821011829
south;7;spruce;2004;0
south;7;deciduous;2004;0.239323981657564
north;1;pine;2004;2.25241314066416
north;1;spruce;2004;3.74381796388941
north;1;deciduous;2004;9.82622251698149
north;2;pine;2004;5.70531314677444
north;2;spruce;2004;4.36142403173248
north;2;deciduous;2004;6.58076091960397
north;4;pine;2004;8.85548806859262
north;4;spruce;2004;1.03534760396563
north;4;deciduous;2004;2.55083475534287
